Epoch,TruePositive,FalsePositive,TrueNegative,FalseNegative,Precision,Recall,Fscore,NodeTrain,NetTrain,NodeValid,NetValid,Time
1,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6748126387596131,0.5376345008611679,0.6701211333274841,0.5283589363098145,32.36
2,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6729735553264617,0.43331659734249117,0.6681331396102905,0.5559009313583374,67.86
3,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6694901525974274,0.4326141595840454,0.6680788993835449,0.5318527817726135,103.35
4,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6724556446075439,0.42790437638759615,0.6678199172019958,0.529234766960144,147.56
5,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6720743536949157,0.4279613643884659,0.6673855185508728,0.5349447727203369,181.35
6,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6734128594398499,0.4300031721591949,0.6680904030799866,0.5277931690216064,215.76
7,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6796034336090088,0.4261848658323288,0.6701452732086182,0.538134753704071,249.67
8,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6684741258621216,0.4307469308376312,0.6677433848381042,0.5423703789710999,284.6
9,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6689045369625092,0.42549046874046326,0.6686031818389893,0.5266419053077698,318.89
10,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.669203245639801,0.4280175745487213,0.6670417785644531,0.5317458510398865,353.02
11,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6682263731956481,0.42881169021129606,0.6672865152359009,0.5243740081787109,388.08
12,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6720065772533417,0.43051103949546815,0.6683490872383118,0.5412707924842834,423.63
13,273620,173833,5499,6543,0.6115055659477084,0.9766457383737325,0.7521000087958484,0.6793931186199188,0.4279249727725983,0.6720063090324402,0.5266382098197937,459.97
14,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6695852637290954,0.42660369277000426,0.6681195497512817,0.5312622785568237,495.91
15,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6694844663143158,0.42574603855609894,0.6681838631629944,0.5343051552772522,530.71
16,273796,173967,5365,6367,0.6114752670497562,0.9772739440968293,0.7522632795091808,0.670950037240982,0.4288482695817947,0.6697871685028076,0.5237687230110168,566.18
17,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6676092624664307,0.42950230538845063,0.6676819324493408,0.5341594219207764,600.59
18,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6668088793754577,0.42482633590698243,0.6678529381752014,0.5278083682060242,635.73
19,278442,178177,1155,1721,0.6097906569809841,0.993857147446308,0.755832797218173,0.6676307260990143,0.4250941753387451,0.6686103343963623,0.5284193158149719,670.64
20,278325,178144,1188,1838,0.6097347245924696,0.9934395334144765,0.755669045059134,0.667606121301651,0.42481803297996523,0.6692872047424316,0.5364587306976318,705.51
21,277971,177819,1513,2192,0.6098663858355822,0.9921759832668839,0.7554042173888822,0.6668721020221711,0.42510384917259214,0.6706088185310364,0.526056170463562,739.96
22,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,0.6657753765583039,0.4252611964941025,0.6703654527664185,0.5373041033744812,774.98
23,273441,177435,1897,6722,0.6064660793655018,0.9760068245985373,0.7480886792633499,0.6648743152618408,0.42230512797832487,0.6718911528587341,0.5308797359466553,809.96
24,270612,175847,3485,9551,0.6061295662087672,0.9659091314698943,0.7448494540490104,0.6626575291156769,0.42444204092025756,0.6723342537879944,0.5325154066085815,845.07
25,265486,169828,9504,14677,0.6098724139356878,0.9476126397846968,0.7421230871153092,0.6634134888648987,0.4232450306415558,0.6753206253051758,0.5227945446968079,879.63
26,273967,178088,1244,6196,0.6060479366448773,0.9778843030664292,0.7483208552644157,0.6650818109512329,0.42465746104717256,0.6781923770904541,0.532019853591919,914.95
27,265010,169628,9704,15153,0.6097257947993503,0.9459136288517755,0.7414930868871196,0.6685291945934295,0.42163156569004057,0.673475980758667,0.5313463807106018,949.5
28,278883,178640,692,1280,0.6095496838410309,0.9954312311047497,0.7561021898206011,0.6629208266735077,0.4208417981863022,0.675146758556366,0.5286740064620972,984.12
29,262975,169873,9459,17188,0.6075458359516505,0.9386500001784676,0.7376464037721718,0.6635894060134888,0.42101643681526185,0.6754775047302246,0.5186318755149841,1018.3
30,272574,177395,1937,7589,0.6057617302525286,0.9729121975421451,0.7466430727594462,0.6685894310474396,0.42377856075763704,0.6747450232505798,0.5238056182861328,1052.87
31,278842,178617,715,1321,0.6095453363033627,0.9952848877260737,0.7560566252091179,0.6642689228057861,0.42075627446174624,0.6758584976196289,0.5279722213745117,1087.24
