Epoch,TruePositiveNode,FalsePositiveNode,TrueNegativeNode,FalseNegativeNode,PrecisionNode,RecallNode,FscoreNode,TruePositiveNet,FalsePositiveNet,TrueNegativeNet,FalseNegativeNet,PrecisionNet,RecallNet,FscoreNet,NodeTrain,NetTrain,NodeValid,NetValid,Time
1,276090,174929,4403,4073,0.6121471600974682,0.9854620346012857,0.7551881747636019,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6844910621643067,0.5819120794534683,0.6805411577224731,0.5225332379341125,73.57
2,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6791280210018158,0.42280636727809906,0.6805197596549988,0.5573540925979614,140.78
3,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6789210498332977,0.4364262893795967,0.6804144978523254,0.5659847855567932,210.65
4,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6793501853942872,0.43287495374679563,0.6810111403465271,0.5343412160873413,281.07
5,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6798291981220246,0.4270195633172989,0.6809524297714233,0.528522253036499,348.43
6,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6797466397285461,0.42714953422546387,0.6807553768157959,0.5287486910820007,414.6
7,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.6793963313102722,0.4292930245399475,0.6802040934562683,0.5411146879196167,478.98
8,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101021,23,0,0.7845413925117039,1.0,0.8792638778834696,0.6789257824420929,0.42728604674339293,0.6799319386482239,0.5295404195785522,546.62
9,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.6786759674549103,0.42660997807979584,0.679716169834137,0.534929096698761,610.08
10,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.678365820646286,0.4261809527873993,0.6794652342796326,0.5321076512336731,675.94
11,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101021,23,0,0.7845413925117039,1.0,0.8792638778834696,0.678093308210373,0.4266849547624588,0.6792054772377014,0.5291117429733276,740.51
12,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.6777956306934356,0.42693995833396914,0.6790181994438171,0.5297559499740601,807.71
13,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.6774640679359436,0.4258287787437439,0.6791083812713623,0.5345821976661682,874.56
14,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.677824717760086,0.42608180940151213,0.6793544292449951,0.5446992516517639,940.01
15,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.6776247322559357,0.4260286524891853,0.678377091884613,0.5387537479400635,1003.72
16,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101018,26,0,0.7845464123772027,1.0,0.8792670304742645,0.6765993535518646,0.423650898039341,0.6774831414222717,0.5272234082221985,1068.27
17,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.6752251327037812,0.4295786410570145,0.6767945885658264,0.524931788444519,1131.01
18,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.6756009578704834,0.42405579388141634,0.6774195432662964,0.5301850438117981,1194.66
19,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101022,22,0,0.7845397192374793,1.0,0.879262827024895,0.6762786686420441,0.42420096695423126,0.6769116520881653,0.5366925597190857,1264.8
20,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367811,100969,75,33,0.7846132514185759,0.9999102880568936,0.8792743215590277,0.674827241897583,0.4232580602169037,0.6753724813461304,0.52399080991745,1334.2
21,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367816,100961,83,28,0.7846289387064639,0.9999238807755462,0.8792894273512141,0.6750385701656342,0.42362712174654005,0.6761342883110046,0.5247676968574524,1403.99
22,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367718,99843,1201,126,0.7864599485414737,0.9996574634899577,0.8803346879657171,0.6743038654327392,0.42242467403411865,0.6770526766777039,0.5143646597862244,1473.84
23,235610,159887,19445,44553,0.5957314467619224,0.8409747182889961,0.6974217801853004,367110,96677,4367,734,0.7915487066261021,0.9980045889018171,0.8828675217734789,0.6755565881729126,0.41667618602514267,0.6846803426742554,0.5310887694358826,1536.9
24,268529,173818,5514,11634,0.6070550947559269,0.9584741739630144,0.7433225837704668,367659,98833,2211,185,0.7881357022199738,0.9994970694098585,0.8813211943389713,0.6788849413394928,0.41894730031490324,0.6799306869506836,0.5144239664077759,1604.22
25,256966,164869,14463,23197,0.6091623502080197,0.9172017718256872,0.7320989518488656,367111,96239,4805,733,0.7922973993741232,0.9980073074455476,0.8833340952894271,0.6791654348373413,0.4120576173067093,0.6853310465812683,0.5172451734542847,1672.67
26,219296,150363,28969,60867,0.5932386334432544,0.7827443309787516,0.674941753280129,366952,94799,6245,892,0.7946967088322494,0.997575058992399,0.8846533549503071,0.6814522743225098,0.4098225235939026,0.6952977776527405,0.5167034268379211,1741.93
27,263847,170455,8877,16316,0.607519652223568,0.9417624739883568,0.7385862148600701,367765,100486,558,79,0.7854014193242513,0.9997852350452909,0.8797206059120076,0.6865500032901763,0.41928351670503616,0.6852359175682068,0.5091163516044617,1811.97
28,280160,179332,0,3,0.6097168177030285,0.9999892919479018,0.7575423677254937,367799,100778,266,45,0.7849275572638008,0.9998776655321278,0.8794590284079429,0.6845997273921967,0.4244982242584229,0.6830020546913147,0.5249720811843872,1879.89
29,273605,177561,1771,6558,0.6064397583151213,0.9765921981132413,0.7482405319630426,367026,95735,5309,818,0.7931221516074172,0.9977762312284555,0.883755816543363,0.6820486068725586,0.4146061033010483,0.6838208436965942,0.5159469842910767,1947.15
30,241816,158659,20673,38347,0.6038229602347213,0.863126108729561,0.710556859887341,366982,94877,6167,862,0.7945758337501272,0.9976566153043138,0.88461051725738,0.6825842916965484,0.41086598932743074,0.6885531544685364,0.5165952444076538,2019.29
31,241525,158595,20737,38638,0.6036314105768269,0.8620874276760314,0.7100721317451707,367031,95193,5851,813,0.7940543978677005,0.997789823947108,0.8843395962740402,0.6857646644115448,0.4098812609910965,0.6872671842575073,0.5243610143661499,2092.31
32,243991,160584,18748,36172,0.603079775072607,0.870889446500787,0.7126550593073554,366937,94507,6537,907,0.7951929161501721,0.9975342808364416,0.8849446754324192,0.6835046410560608,0.4115288704633713,0.6863996982574463,0.5151612758636475,2162.94
