Epoch,tp,fp,tn,fn,p,r,fsc,m,Time
1,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,36.6
2,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,108.64
3,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,139.64
4,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,170.59
5,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,201.15
6,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,231.36
7,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,261.18
8,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,291.42
9,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,321.97
10,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,352.49
11,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,382.95
12,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,415.14
13,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,445.13
14,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,475.81
15,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,506.92
16,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,537.97
17,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,568.22
18,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,598.26
19,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,628.48
20,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,659.16
21,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,690.35
22,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,720.53
23,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,751.26
24,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,782.42
25,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,813.12
26,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,843.49
27,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,874.14
28,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,905.44
29,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,935.5
30,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,967.21
31,476062,417872,3038,4282,0.5325471455387086,0.9910855553519977,0.6928176104107029,0.9918779833432084,997.53
32,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1027.91
33,480335,420906,4,9,0.5329706482505789,0.9999812634278767,0.6953390489908331,0.9999855756534783,1057.34
34,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1087.88
35,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1118.46
36,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1149.44
37,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1180.57
38,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1211.73
39,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1241.77
40,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1272.37
41,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1303.26
42,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1332.97
43,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1365.51
44,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1397.63
45,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1431.76
46,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1463.51
47,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1495.43
48,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1526.8
49,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1558.09
50,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1589.57
51,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1620.79
52,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1651.96
53,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1682.89
54,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1713.85
55,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1744.98
56,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1775.69
57,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1805.97
58,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1837.11
59,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1867.58
60,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1899.12
61,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1929.81
