Partition,Conductance
0,0.0537
1,0.0794
2,0.0923
3,0.1140
4,0.0897
5,0.0807
6,0.0475
7,0.1755
8,0.1815
9,0.0784
10,0.2529
11,0.1946
12,0.1944
13,0.2252
14,0.1226
15,0.5657
16,0.0695
17,0.1059
18,0.1278
19,0.2010
20,0.1143
21,0.0621
22,0.0802
23,0.0600
24,0.0503
25,0.0592
26,0.0938
27,0.0459
28,0.0275
29,0.1308
30,0.1371
31,0.0314
32,0.0739
33,0.0488
34,0.0618
35,0.0574
36,0.0749
37,0.0687
38,0.0756
39,0.1359
40,0.1003
41,0.1789
42,0.1964
43,0.1504
44,0.1898
45,0.2189
46,0.2310
47,0.2251
48,0.2418
49,0.2334
50,0.2306
51,0.2250
52,0.2326
53,0.3209
54,0.2163
55,0.2719
