Epoch,NodeTrain,NetTrain,NodeValid,NetValid,Time
1,3.9676931381225584,4.52707793712616,1.1469781398773193,0.999506950378418,5.55
2,3.7310351371765136,4.376212406158447,1.2289785146713257,1.0622197389602661,11.95
3,3.7206377387046814,4.348557543754578,1.3182297945022583,1.1656080484390259,18.25
4,3.7184325814247132,4.3518576383590695,1.2654434442520142,1.4087464809417725,23.65
5,3.7305142283439636,4.285479331016541,1.3205904960632324,1.529463768005371,29.11
6,3.6979456901550294,4.238271331787109,1.2616287469863892,1.5942316055297852,34.6
7,3.754877471923828,4.206169176101684,1.437824010848999,1.4852185249328613,38.84
8,3.662217926979065,4.156145334243774,1.282047152519226,1.9019834995269775,44.16
9,3.633846950531006,4.06941978931427,1.2771328687667847,1.9148330688476562,49.24
10,3.6223719239234926,3.9854264497756957,1.278996467590332,1.92462158203125,55.18
11,3.6003490328788756,3.9637940406799315,1.35775887966156,1.997135043144226,60.83
12,3.5863233685493467,3.914231371879578,1.3609484434127808,2.0561363697052,65.41
13,3.5827131032943726,3.920300579071045,1.32527756690979,1.7816238403320312,69.99
14,3.586497986316681,3.8955525875091555,1.3339060544967651,1.8131908178329468,75.37
15,3.5949535965919495,3.878978228569031,1.3011432886123657,1.9707335233688354,80.21
16,3.5665630459785462,3.8523657083511353,1.3703463077545166,1.4297692775726318,85.75
17,3.5697115898132323,3.851576733589172,1.3451521396636963,1.9499362707138062,90.07
18,3.5667173266410828,3.825820231437683,1.4161076545715332,1.375296950340271,96.2
19,3.5348907828330995,3.7946150064468385,1.368619680404663,1.6039777994155884,100.35
20,3.5201804995536805,3.7973724603652954,1.2980666160583496,1.6816885471343994,105.4
21,3.5112000942230224,3.7765355348587035,1.3143140077590942,1.7999591827392578,111.13
22,3.512717616558075,3.806476330757141,1.3070745468139648,1.669180154800415,115.71
23,3.4578073620796204,3.8007411479949953,1.3353307247161865,1.5534666776657104,121.4
24,3.454136824607849,3.774782109260559,1.4680055379867554,1.625425100326538,125.79
25,3.437020492553711,3.7630220651626587,1.4536718130111694,2.1967270374298096,131.93
26,3.4359960317611695,3.7802599668502808,1.3483161926269531,1.6331837177276611,136.33
27,3.419937717914581,3.772582483291626,1.3565661907196045,1.7738980054855347,142.34
28,3.408975839614868,3.7922950267791746,1.3396286964416504,1.8375195264816284,146.89
29,3.375875508785248,3.7643140316009522,1.4063668251037598,1.5361225605010986,152.58
30,3.3580543637275695,3.7657718896865844,1.392492413520813,1.6616811752319336,156.85
31,3.3464722871780395,3.770491433143616,1.4166755676269531,1.6321356296539307,162.75
32,3.3612449169158936,3.766296052932739,1.382993221282959,1.671737551689148,167.33
33,3.3690648913383483,3.761264371871948,1.4137858152389526,1.674904704093933,173.32
34,3.3879152655601503,3.7640106439590455,1.3472437858581543,1.5469844341278076,178.67
35,3.346757411956787,3.7855103731155397,1.4535841941833496,1.8474830389022827,184.27
36,3.3569641590118406,3.7700482606887817,1.507720947265625,1.7676385641098022,189.11
37,3.342318081855774,3.776158261299133,1.463536024093628,1.501037359237671,193.47
38,3.2906670808792113,3.7573379278182983,1.4053417444229126,1.6855745315551758,197.65
39,3.3320640683174134,3.769090437889099,1.4904835224151611,1.6025102138519287,203.35
40,3.2844015836715696,3.7489407062530518,1.413365125656128,1.6186397075653076,207.67
41,3.2820821523666384,3.7472440719604494,1.4181325435638428,1.8020135164260864,213.56
42,3.284072196483612,3.7573312759399413,1.4297844171524048,1.5628819465637207,217.98
43,3.323827600479126,3.759326148033142,1.3684827089309692,1.7286118268966675,223.93
44,3.254124569892883,3.7517523050308226,1.4865175485610962,1.5671998262405396,228.24
45,3.258709716796875,3.786795473098755,1.4737862348556519,1.5882021188735962,233.96
46,3.239968252182007,3.742518663406372,1.4449708461761475,1.6924855709075928,239.32
47,3.2147364020347595,3.7368592977523805,1.478274941444397,1.976569414138794,244.97
48,3.215645062923431,3.7408849716186525,1.3867651224136353,1.5587882995605469,249.82
49,3.227229726314545,3.7579341650009157,1.411710262298584,1.9725788831710815,256.05
50,3.264913499355316,3.749556303024292,1.5432592630386353,1.6177810430526733,260.24
