Epoch,NodeTrain,NetTrain,NodeValid,NetValid,Time
1,1.1357260525226593,1.241643249988556,0.5752201080322266,0.24648752808570862,9.44
2,1.0756812989711761,1.229920792579651,0.43025481700897217,0.28565678000450134,20.14
3,1.0680622458457947,1.2154080152511597,0.42147958278656006,0.3454226851463318,31.08
4,1.068592721223831,1.210167360305786,0.4272594749927521,0.4741306006908417,41.24
5,1.0697914779186248,1.1938763737678528,0.47002172470092773,0.46168193221092224,51.24
6,1.0624664962291717,1.2110087275505066,0.46972525119781494,0.5423059463500977,61.7
7,1.0628708899021149,1.1544059753417968,0.45896151661872864,0.5723562240600586,72.34
8,1.0572344601154327,1.143825387954712,0.47189006209373474,0.5751252770423889,82.66
9,1.06027449965477,1.1333037972450257,0.4353598356246948,0.8432101607322693,92.94
10,1.054219800233841,1.1248550176620484,0.4567747414112091,0.7829195261001587,103.51
11,1.0447933197021484,1.118757426738739,0.46350178122520447,0.855280876159668,113.81
12,1.0439924836158752,1.1342865824699402,0.4965915083885193,0.7584638595581055,124.01
13,1.027829122543335,1.1209654569625855,0.49434033036231995,1.0660033226013184,134.59
14,1.044146293401718,1.1191367506980896,0.4886181354522705,0.7141455411911011,145.43
15,1.040204930305481,1.1213505029678346,0.4641557037830353,0.9977985620498657,155.72
16,1.0244062066078186,1.1159225821495056,0.4913128912448883,1.1436949968338013,166.02
17,1.028553879261017,1.1101165652275085,0.5116916298866272,0.900347888469696,176.41
18,1.062248456478119,1.1153875946998597,0.5547963976860046,1.0316567420959473,186.46
19,1.034522020816803,1.1061679124832153,0.46595457196235657,0.7833947539329529,197.0
20,1.020680660009384,1.0963088631629945,0.452677458524704,0.8239705562591553,207.12
21,1.0163492143154145,1.0909649312496186,0.5014516115188599,0.5891537070274353,217.62
22,1.0042178571224212,1.0877254366874696,0.4804346561431885,0.6412903666496277,228.18
23,1.0053835213184357,1.0820916950702668,0.48348450660705566,0.6978164315223694,239.13
24,1.0056557416915894,1.079152762889862,0.4843246638774872,0.5876551270484924,249.93
25,1.0058866322040558,1.0849235892295837,0.46127477288246155,0.5531542301177979,260.28
