Epoch,TruePositiveNode,FalsePositiveNode,TrueNegativeNode,FalseNegativeNode,PrecisionNode,RecallNode,FscoreNode,TruePositiveNet,FalsePositiveNet,TrueNegativeNet,FalseNegativeNet,PrecisionNet,RecallNet,FscoreNet,NodeTrain,NetTrain,NodeValid,NetValid,Time
1,97051,72280,107052,183112,0.5731437244213995,0.34640905472885425,0.4318233391324467,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6863091468811036,0.5296786367893219,0.6958613991737366,0.5273513793945312,30.6
2,116011,91745,87587,164152,0.5584002387416007,0.41408394398974885,0.47553384885606015,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6966381251811982,0.4336692214012146,0.6952768564224243,0.5558096170425415,59.14
3,189132,142801,36531,91031,0.5697896864728725,0.6750784364816196,0.6179814930991216,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.692707633972168,0.4311640918254852,0.6941038370132446,0.5311991572380066,86.09
4,198728,150749,28583,81435,0.5686440023234719,0.709329925793199,0.6312432501111745,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.690226411819458,0.4260601788759232,0.6937294006347656,0.5274081826210022,111.87
5,193826,149030,30302,86337,0.5653277177590592,0.6918329686646703,0.6222153738489516,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6906885027885437,0.4294010609388351,0.6939325928688049,0.5441339612007141,137.74
6,201092,150906,28426,79071,0.5712873368598685,0.7177678708466143,0.6362050173927211,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6898659825325012,0.4235026970505714,0.6938048005104065,0.519199788570404,166.56
7,177565,137454,41878,102598,0.5636644138924953,0.6337917569414948,0.5966746306171893,367815,100250,794,29,0.7858203454648393,0.9999211622318157,0.8800359847782474,0.690264743566513,0.4249688357114792,0.6947962641716003,0.52826988697052,198.89
8,181170,137806,41526,98993,0.5679737660513644,0.6466592662128832,0.6047678418530592,367209,99025,2019,635,0.787606652453489,0.9982737247311361,0.8805147719997412,0.690884393453598,0.41901264637708663,0.695970356464386,0.5148754715919495,228.64
9,177020,142410,36922,103143,0.5541746235481952,0.631846460810314,0.5904672002508368,367232,98596,2448,612,0.7883424783396447,0.9983362512369374,0.8809987621030814,0.6923282444477081,0.41633773744106295,0.6960964798927307,0.5207973718643188,258.21
10,167964,139703,39629,112199,0.5459279025699864,0.5995224208764184,0.5714713437558478,366446,96422,4622,1398,0.7916857505811592,0.9961994758647688,0.8822455917333565,0.6913310945034027,0.41769829392433167,0.6963214874267578,0.5093148350715637,288.04
11,180583,146419,32913,99580,0.5522382126103205,0.644564057352327,0.5948399528958356,366740,96562,4482,1104,0.7915787110783031,0.9969987277215341,0.8824923659621775,0.6897153198719025,0.4120881617069244,0.6964496970176697,0.5127475261688232,317.35
12,200358,150639,28693,79805,0.5708253916700142,0.7151479674332443,0.634888142467837,366992,97375,3669,852,0.7903059433594549,0.9976838007416188,0.8819686353581003,0.6881353318691253,0.413246838748455,0.6951804161071777,0.5198178887367249,347.46
13,196787,151028,28304,83376,0.5657806592585138,0.7024018160856359,0.6267321466675584,367130,97404,3640,714,0.7903189002311994,0.998058959776427,0.8821232661122711,0.6876336574554444,0.41526988446712493,0.6940796971321106,0.5157765746116638,377.62
14,193621,149702,29630,86542,0.5639616337967454,0.6911012517712903,0.621091732613082,367102,96546,4498,742,0.7917687556077024,0.9979828405519732,0.8829958676692019,0.6880391478538513,0.41432700902223585,0.6943352222442627,0.5154511332511902,407.49
15,201227,150803,28529,78936,0.5716188961168083,0.7182497331910352,0.6365998990814515,366683,97142,3902,1161,0.7905632512262167,0.996843770728896,0.881800331622316,0.6855935692787171,0.4180848032236099,0.6932680606842041,0.5301050543785095,437.37
16,201000,150752,28580,79163,0.5714253223862267,0.7174394905822682,0.6361615090637189,366657,96993,4051,1187,0.7908055645422194,0.9967730885919031,0.8819233812871772,0.6857997179031372,0.41162620186805726,0.6947280168533325,0.5161038041114807,466.61
17,245706,164146,15186,34457,0.5994993314659927,0.8770108829502825,0.7121758222647335,366831,95652,5392,1013,0.7931772627318193,0.9972461152010091,0.8835820104609389,0.6836569786071778,0.41148571372032167,0.6885954737663269,0.5054326057434082,495.76
