Epoch,TruePositiveNode,FalsePositiveNode,TrueNegativeNode,FalseNegativeNode,PrecisionNode,RecallNode,FscoreNode,TruePositiveNet,FalsePositiveNet,TrueNegativeNet,FalseNegativeNet,PrecisionNet,RecallNet,FscoreNet,NodeTrain,NetTrain,NodeValid,NetValid,Time
1,280094,179302,30,69,0.6097005633483966,0.9997537148017405,0.7574622173484469,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6922094523906708,0.6580644905567169,0.6823959350585938,0.6319130063056946,36.0
2,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6784056663513184,0.624724268913269,0.6717962026596069,0.6421839594841003,69.78
3,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6844623684883118,0.6225942015647888,0.6689262390136719,0.6285622715950012,102.48
4,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6746880352497101,0.6107231259346009,0.6694525480270386,0.6293354630470276,136.82
5,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6753592550754547,0.6189939558506012,0.6719623804092407,0.6472591757774353,170.04
6,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6745558559894562,0.6349585235118866,0.6689571142196655,0.6460651159286499,202.19
7,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6757113635540009,0.634240311384201,0.6698092222213745,0.6494882702827454,233.85
8,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6775931656360626,0.6342245697975158,0.6690061092376709,0.6440346240997314,275.24
9,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6871108055114746,0.6408705472946167,0.676519513130188,0.6570806503295898,308.27
10,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,291878,78194,22850,75966,0.7887059815387276,0.7934831069692587,0.7910873324335019,0.6697216629981995,0.6565424501895905,0.6694880127906799,0.6691370010375977,342.85
11,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,290871,77330,23714,76973,0.7899788430775582,0.7907455334326507,0.7903620023232275,0.6708465635776519,0.6678824603557587,0.6696386337280273,0.6703673005104065,374.52
12,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6733044624328614,0.6618980407714844,0.6690176129341125,0.6636388897895813,404.89
13,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6722096860408783,0.6613667964935303,0.6697418093681335,0.6675949096679688,432.44
14,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6688315808773041,0.6586664617061615,0.6686152219772339,0.6594565510749817,459.77
15,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6731165826320649,0.646678376197815,0.6708981990814209,0.65217524766922,492.26
16,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6703408360481262,0.6421841859817505,0.6686692237854004,0.6515443921089172,524.66
17,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6728243291378021,0.6455843508243561,0.6687146425247192,0.6541948914527893,555.95
18,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367772,100996,48,72,0.784550139941293,0.9998042648514044,0.879193700305518,0.6704592645168305,0.6469568967819214,0.6688489317893982,0.6543327569961548,587.39
19,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,363410,99781,1263,4434,0.7845791476950114,0.9879459770989876,0.8745961361434836,0.6703522205352783,0.6486278891563415,0.6689687967300415,0.6559422612190247,619.13
20,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367808,101031,13,36,0.7845081147259507,0.9999021324257023,0.8792051469911545,0.6697011291980743,0.6480579912662506,0.6685604453086853,0.6549537181854248,650.78
21,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,329643,90294,10750,38201,0.7849820330192386,0.8961489109513816,0.8368899478408339,0.6784474372863769,0.645291781425476,0.6684392094612122,0.6524932384490967,682.45
22,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,364844,100617,427,3000,0.7838336616816447,0.9918443688085167,0.8756553722826576,0.6723313868045807,0.6498398423194885,0.6719326376914978,0.6612296104431152,713.71
23,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6719503998756409,0.6553270697593689,0.6687224507331848,0.6647979021072388,745.32
24,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6729781270027161,0.6573868036270142,0.6689105033874512,0.6530070304870605,776.92
25,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,367844,101044,0,0,0.7845029090102541,1.0,0.8792397087717454,0.6730024456977844,0.6413494050502777,0.6697356104850769,0.6595861911773682,807.24
26,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,327163,93115,7929,40681,0.7784442678417619,0.8894069224997553,0.8302344053331845,0.6688886523246765,0.6596179246902466,0.6686987280845642,0.6707587242126465,838.5
27,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,298357,83198,17846,69487,0.7819501775628678,0.8110965517991322,0.7962567337292952,0.6715734720230102,0.6630290985107422,0.669582724571228,0.6734238266944885,870.42
28,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,196155,51387,49657,171689,0.792410984802579,0.5332559454551385,0.6375023156197899,0.6695688545703888,0.6717846155166626,0.6688448190689087,0.6793857216835022,901.55
29,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,288162,80064,20980,79682,0.7825683140245393,0.7833809984667414,0.7829744453652505,0.6721157133579254,0.6721215605735779,0.6712087392807007,0.672467827796936,933.03
30,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,241006,63679,37365,126838,0.791000541542905,0.6551853503115451,0.7167155617081197,0.6710916459560394,0.6796871662139893,0.6684122681617737,0.6797031760215759,963.9
31,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,238602,64179,36865,129242,0.7880349163256611,0.6486499711834365,0.7115809878844361,0.6703176021575927,0.6850539088249207,0.6686397790908813,0.6788037419319153,995.22
32,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,201525,51317,49727,166319,0.7970392577182588,0.5478545252878938,0.6493621573549265,0.66846684217453,0.68827183842659,0.668487012386322,0.6853579878807068,1026.56
33,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,210204,56035,45009,157640,0.7895312106791267,0.5714487663248551,0.6630173021512956,0.6717177271842957,0.6882113635540008,0.6679279804229736,0.6809527277946472,1058.28
34,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,209572,54675,46369,158272,0.7930913122949361,0.5697306466871827,0.6631070526237519,0.6721621036529541,0.6892989039421081,0.6702051758766174,0.6816839575767517,1089.01
35,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,225121,61141,39903,142723,0.7864159406417897,0.6120012831526408,0.6883318605852874,0.6676925241947174,0.6826729893684387,0.6680355072021484,0.6750820279121399,1120.6
36,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,234510,62971,38073,133334,0.7883192540027767,0.6375256902382531,0.7049487092774208,0.674796336889267,0.6716346323490143,0.6690970659255981,0.6684077382087708,1151.67
37,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,206397,53548,47496,161447,0.7940025774683106,0.5610992703428628,0.6575362104146457,0.6803764462471008,0.6797504723072052,0.6719919443130493,0.6781660914421082,1183.0
38,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,213626,56151,44893,154218,0.7918614262891203,0.5807516229706071,0.6700720333866044,0.6694585084915161,0.6820511996746064,0.6697162985801697,0.6777069568634033,1214.14
39,280163,179332,0,0,0.6097193658255259,1.0,0.7575474070448774,213615,54793,46251,154229,0.7958592888438497,0.5807217189895717,0.6714792252126517,0.6695820808410644,0.6811355888843537,0.6683885455131531,0.6763242483139038,1245.84
