Epoch,Train_Loss,Valid_Loss,Time
1,92181305600.0,3962875392.0,7.05
2,267589454848.0,5968258048.0,12.56
3,97807170355.2,1974791808.0,18.1
4,68304696166.4,549687936.0,23.64
5,29073908857.6,402067424.0,29.18
6,6103869024.0,75551944.0,34.73
7,878468195.6,15689601.0,40.25
8,104005745.5,2158098.25,45.79
9,3832730.0,194889.9375,51.32
10,319987.63984375,258282.703125,56.87
11,1001789.0171875,352224.6875,62.4
12,1038952.7921875,317771.9375,67.93
13,644317.4703125,245419.5625,73.47
14,302341.4109375,191759.171875,79.03
15,139568.2578125,164354.359375,84.57
16,93756.0466796875,153302.25,90.1
17,89478.670703125,149621.078125,95.65
18,90843.487109375,148871.75,101.18
19,90085.7630859375,149309.484375,106.72
20,88439.2259765625,150156.0625,112.24
21,87227.83076171875,150942.109375,117.74
22,86554.2701171875,151442.96875,123.3
23,86125.673828125,151639.609375,128.85
24,85755.5740234375,151633.015625,134.39
25,85395.82490234375,151540.984375,139.93
26,85041.12705078124,151429.765625,145.48
27,84688.5439453125,151347.53125,151.02
28,84335.6328125,151294.484375,156.57
29,83982.88955078126,151265.046875,162.11
30,83632.7046875,151246.6875,167.66
31,83286.6552734375,151232.515625,173.19
32,82946.16025390624,151215.71875,178.75
33,82611.37509765624,151196.84375,184.28
34,82280.9607421875,151172.1875,189.8
35,81959.11689453125,151149.546875,195.35
36,81642.785546875,151124.9375,200.89
37,81331.12177734375,151101.78125,206.43
38,81026.06943359374,151079.109375,211.97
39,80725.9515625,151058.015625,217.51
40,80431.5703125,151037.890625,223.05
41,80141.9515625,151016.375,228.59
42,79857.6046875,150992.84375,234.13
43,79579.8017578125,150970.28125,239.67
44,79307.182421875,150946.84375,245.21
45,79040.63876953124,150926.421875,250.73
46,78778.95068359375,150905.640625,256.29
47,78523.32890625,150886.0,261.83
48,78273.11318359376,150863.21875,267.35
49,78027.54892578124,150841.25,272.9
50,77787.25048828125,150821.15625,278.45
51,77551.94794921875,150801.234375,283.99
52,77321.7900390625,150779.625,289.53
53,77095.2142578125,150759.703125,295.07
54,76875.84541015625,150736.75,300.61
55,76660.618359375,150716.984375,306.17
56,76449.29521484375,150697.34375,311.71
57,76242.9908203125,150678.875,317.25
58,76040.9767578125,150660.34375,322.79
59,75843.201953125,150639.796875,328.33
60,75648.64697265625,150620.6875,333.87
61,75459.12998046874,150600.40625,339.54
62,75273.62373046875,150581.96875,345.05
63,75092.166796875,150562.0625,350.87
64,74914.634375,150542.015625,356.4
65,74741.0609375,150523.40625,361.94
66,74570.5412109375,150505.625,367.48
67,74404.08837890625,150485.921875,373.03
68,74241.33994140624,150466.578125,378.57
69,74082.06455078124,150447.203125,384.09
70,73926.115234375,150428.5,389.61
71,73772.881640625,150409.078125,395.17
72,73622.15361328125,150390.640625,400.71
73,73473.83935546875,150373.1875,406.25
74,73329.26201171875,150352.046875,411.8
75,73187.8650390625,150334.84375,417.36
76,73048.37763671875,150316.34375,422.9
77,72911.923046875,150298.9375,428.45
78,72777.580859375,150281.203125,434.0
79,72646.42890625,150263.90625,439.55
80,72517.5140625,150244.65625,445.08
81,72391.5767578125,150228.015625,450.61
82,72267.66416015624,150210.40625,456.14
83,72146.135546875,150189.3125,461.67
84,72026.87587890626,150172.0,467.21
85,71909.89692382813,150154.46875,472.74
86,71796.03432617188,150135.234375,478.27
87,71683.76123046875,150118.171875,483.84
88,71573.78325195312,150098.953125,489.38
89,71465.03247070312,150081.515625,494.93
90,71358.98178710937,150063.828125,500.45
91,71254.65224609376,150045.75,505.99
92,71152.14833984376,150024.921875,511.51
93,71052.67329101563,150008.515625,517.05
94,70954.38564453126,149989.015625,522.58
95,70858.01655273438,149971.578125,528.12
96,70764.22705078125,149953.03125,533.66
97,70671.7603515625,149936.6875,539.2
98,70580.19975585937,149921.140625,544.73
99,70490.11274414063,149903.859375,550.29
100,70401.50805664062,149885.859375,555.82
101,70314.55185546874,149868.21875,561.36
102,70229.27631835938,149848.28125,566.9
103,70145.50893554688,149830.609375,572.44
104,70062.49990234376,149813.078125,577.98
105,69980.95112304688,149796.3125,583.5
106,69900.65014648438,149778.640625,589.04
107,69821.64892578125,149760.8125,594.59
108,69743.39125976563,149743.734375,600.13
109,69666.9955078125,149725.25,605.67
110,69591.41943359375,149707.53125,611.21
111,69517.14418945313,149688.5,616.77
112,69444.19560546875,149669.796875,622.27
113,69372.31040039062,149652.65625,627.78
114,69301.53872070313,149634.53125,633.31
115,69231.50078125,149616.890625,638.83
116,69162.4447265625,149599.625,644.54
117,69094.41337890625,149582.125,650.03
118,69027.845703125,149565.15625,655.51
119,68961.81284179687,149545.84375,660.99
120,68896.81416015625,149528.03125,666.48
121,68832.11845703125,149507.6875,671.94
122,68768.97729492188,149491.0,677.41
123,68706.31157226562,149471.953125,682.9
124,68644.674609375,149454.125,688.37
125,68583.53916015624,149434.84375,693.86
126,68523.76962890624,149414.953125,699.37
127,68464.81533203126,149396.359375,704.86
128,68406.15517578126,149377.515625,710.32
129,68348.150390625,149361.171875,715.81
130,68291.21669921876,149338.890625,721.3
131,68234.37543945313,149320.609375,726.81
132,68178.53374023437,149299.640625,732.29
133,68123.230078125,149282.5,737.76
134,68069.10673828125,149264.203125,743.24
135,68014.78393554688,149246.03125,748.72
136,67961.15615234376,149227.8125,754.19
137,67908.47963867188,149209.328125,759.67
138,67856.14677734375,149190.40625,765.14
139,67804.52172851562,149168.359375,770.63
140,67753.26059570312,149150.203125,776.11
141,67702.55595703125,149129.421875,781.58
142,67652.98325195312,149109.75,787.04
143,67603.4203125,149090.125,792.55
144,67554.42319335937,149071.46875,798.01
145,67505.81909179688,149052.328125,803.49
146,67458.2396484375,149031.1875,808.97
147,67410.89506835937,149010.203125,814.5
148,67364.61508789062,148989.734375,820.0
149,67318.1958984375,148970.734375,825.52
150,67271.90751953125,148951.921875,831.02
151,67226.9142578125,148931.640625,836.52
152,67182.60932617188,148912.140625,842.01
153,67138.48779296875,148891.640625,847.53
154,67094.46474609376,148870.46875,853.02
155,67051.506640625,148847.984375,858.55
156,67008.74213867188,148828.265625,864.08
157,66966.58525390625,148808.46875,869.62
158,66924.70932617187,148788.90625,875.16
159,66883.01372070312,148768.875,880.7
160,66841.74672851563,148747.4375,886.16
161,66800.91728515625,148726.53125,891.67
162,66760.38461914062,148704.65625,897.16
163,66720.50869140626,148681.96875,902.68
164,66680.42651367188,148661.359375,908.23
165,66641.040234375,148639.640625,913.75
166,66602.15625,148619.046875,919.31
167,66563.45405273438,148596.5625,924.84
168,66524.88305664062,148576.296875,930.32
169,66487.0279296875,148552.953125,935.8
170,66449.44975585937,148531.40625,941.28
171,66411.85004882813,148509.234375,946.84
172,66374.52670898437,148488.4375,952.33
173,66337.78833007812,148468.09375,957.87
174,66301.4068359375,148445.4375,963.4
175,66264.447265625,148423.484375,968.97
176,66228.60170898438,148400.890625,974.51
177,66192.87124023438,148375.921875,980.06
178,66157.50654296875,148353.3125,985.59
179,66121.88842773438,148332.28125,991.15
180,66087.11840820312,148310.25,996.68
181,66053.16494140626,148288.359375,1002.24
182,66018.63647460938,148264.8125,1007.78
183,65984.2755859375,148242.625,1013.33
184,65950.759375,148217.953125,1018.86
185,65917.09702148437,148193.875,1024.42
186,65883.7453125,148172.421875,1029.95
187,65850.56997070313,148148.546875,1035.52
188,65817.93002929687,148124.515625,1041.09
189,65785.5765625,148100.59375,1046.63
190,65752.84453125,148074.90625,1052.18
191,65720.90893554688,148051.796875,1057.71
192,65689.15107421875,148028.9375,1063.26
193,65657.288671875,148007.75,1068.79
194,65625.6076171875,147984.53125,1074.32
195,65594.52255859374,147961.8125,1079.88
196,65563.48076171875,147936.859375,1085.39
197,65532.293701171875,147912.390625,1090.92
198,65501.330810546875,147889.21875,1096.46
199,65470.45654296875,147866.296875,1101.99
200,65439.56357421875,147843.703125,1107.5
201,65408.696875,147822.890625,1113.02
202,65378.27666015625,147802.125,1118.59
203,65348.15595703125,147779.515625,1124.13
204,65317.312255859375,147760.125,1129.68
205,65287.08359375,147742.4375,1135.21
206,65257.67202148437,147724.75,1140.73
207,65227.916748046875,147705.546875,1146.26
208,65198.28208007813,147686.359375,1151.81
209,65169.11079101563,147669.515625,1157.35
210,65139.16538085938,147655.484375,1162.9
211,65109.474853515625,147643.65625,1168.43
212,65080.298046875,147631.515625,1173.96
213,65050.9837890625,147622.421875,1179.49
214,65021.55415039063,147613.796875,1185.02
215,64992.88120117188,147611.421875,1190.52
216,64963.30375976562,147614.328125,1196.05
217,64934.263916015625,147618.03125,1201.57
218,64906.4638671875,147625.21875,1207.11
219,64877.66162109375,147636.21875,1212.66
220,64849.4376953125,147652.375,1218.21
